2019-04-24 10:27:20.654501: [training]
2019-04-24 10:51:33.941114: iter: [15/30], train_loss: 0.001406, valid_loss: 0.000162, best_valid_loss: 0.000156, lr: 0.01000
2019-04-24 10:51:35.779522: iter: [16/30], train_loss: 0.001286, valid_loss: 0.000129, best_valid_loss: 0.000129, lr: 0.01000
2019-04-24 10:51:37.538030: iter: [17/30], train_loss: 0.001391, valid_loss: 0.000142, best_valid_loss: 0.000129, lr: 0.01000
2019-04-24 10:51:39.343743: iter: [18/30], train_loss: 0.001282, valid_loss: 0.000148, best_valid_loss: 0.000129, lr: 0.01000
2019-04-24 10:51:41.135513: iter: [19/30], train_loss: 0.001418, valid_loss: 0.000158, best_valid_loss: 0.000129, lr: 0.01000
2019-04-24 10:51:42.930048: iter: [20/30], train_loss: 0.001417, valid_loss: 0.000135, best_valid_loss: 0.000129, lr: 0.01000
2019-04-24 10:51:44.767992: iter: [21/30], train_loss: 0.001365, valid_loss: 0.000128, best_valid_loss: 0.000128, lr: 0.01000
2019-04-24 10:51:46.521399: iter: [22/30], train_loss: 0.001394, valid_loss: 0.000142, best_valid_loss: 0.000128, lr: 0.01000
2019-04-24 10:51:48.314846: iter: [23/30], train_loss: 0.001353, valid_loss: 0.000142, best_valid_loss: 0.000128, lr: 0.01000
2019-04-24 10:51:50.131997: iter: [24/30], train_loss: 0.001223, valid_loss: 0.000183, best_valid_loss: 0.000128, lr: 0.01000
2019-04-24 10:51:51.935402: iter: [25/30], train_loss: 0.001267, valid_loss: 0.000164, best_valid_loss: 0.000128, lr: 0.01000
2019-04-24 10:51:53.759357: iter: [26/30], train_loss: 0.001429, valid_loss: 0.000126, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 10:51:55.536775: iter: [27/30], train_loss: 0.001284, valid_loss: 0.000160, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 10:51:57.342597: iter: [28/30], train_loss: 0.001269, valid_loss: 0.000174, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 10:51:59.123081: iter: [29/30], train_loss: 0.001287, valid_loss: 0.000170, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 10:52:00.933586: iter: [30/30], train_loss: 0.001274, valid_loss: 0.000155, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 11:17:44.719105: [training]
2019-04-24 11:17:46.678911: iter: [1/30], train_loss: 0.570941, valid_loss: 0.001521, best_valid_loss: 0.001521, lr: 0.01000
2019-04-24 11:17:48.489579: iter: [2/30], train_loss: 0.011669, valid_loss: 0.001287, best_valid_loss: 0.001287, lr: 0.01000
2019-04-24 11:17:50.264880: iter: [3/30], train_loss: 0.009857, valid_loss: 0.001456, best_valid_loss: 0.001287, lr: 0.01000
2019-04-24 11:17:52.066563: iter: [4/30], train_loss: 0.007897, valid_loss: 0.002866, best_valid_loss: 0.001287, lr: 0.01000
2019-04-24 11:17:53.882164: iter: [5/30], train_loss: 0.007540, valid_loss: 0.001211, best_valid_loss: 0.001211, lr: 0.01000
2019-04-24 11:17:55.870129: iter: [6/30], train_loss: 0.005986, valid_loss: 0.000993, best_valid_loss: 0.000993, lr: 0.01000
2019-04-24 11:17:57.864110: iter: [7/30], train_loss: 0.004929, valid_loss: 0.001201, best_valid_loss: 0.000993, lr: 0.01000
2019-04-24 11:17:59.702037: iter: [8/30], train_loss: 0.003818, valid_loss: 0.000669, best_valid_loss: 0.000669, lr: 0.01000
2019-04-24 11:18:01.509755: iter: [9/30], train_loss: 0.002894, valid_loss: 0.000229, best_valid_loss: 0.000229, lr: 0.01000
2019-04-24 11:18:03.304951: iter: [10/30], train_loss: 0.002201, valid_loss: 0.000148, best_valid_loss: 0.000148, lr: 0.01000
2019-04-24 11:18:05.124779: iter: [11/30], train_loss: 0.001787, valid_loss: 0.000136, best_valid_loss: 0.000136, lr: 0.01000
2019-04-24 11:18:06.883331: iter: [12/30], train_loss: 0.001753, valid_loss: 0.000236, best_valid_loss: 0.000136, lr: 0.01000
2019-04-24 11:18:08.657374: iter: [13/30], train_loss: 0.002044, valid_loss: 0.000158, best_valid_loss: 0.000136, lr: 0.01000
2019-04-24 11:18:10.475646: iter: [14/30], train_loss: 0.001753, valid_loss: 0.000133, best_valid_loss: 0.000133, lr: 0.01000
2019-04-24 11:18:12.281482: iter: [15/30], train_loss: 0.001345, valid_loss: 0.000109, best_valid_loss: 0.000109, lr: 0.01000
2019-04-24 11:18:14.086743: iter: [16/30], train_loss: 0.001236, valid_loss: 0.000094, best_valid_loss: 0.000094, lr: 0.01000
2019-04-24 11:18:15.851487: iter: [17/30], train_loss: 0.001313, valid_loss: 0.000103, best_valid_loss: 0.000094, lr: 0.01000
2019-04-24 11:18:17.648046: iter: [18/30], train_loss: 0.001162, valid_loss: 0.000108, best_valid_loss: 0.000094, lr: 0.01000
2019-04-24 11:18:19.419884: iter: [19/30], train_loss: 0.001285, valid_loss: 0.000126, best_valid_loss: 0.000094, lr: 0.01000
2019-04-24 11:18:21.262248: iter: [20/30], train_loss: 0.001328, valid_loss: 0.000092, best_valid_loss: 0.000092, lr: 0.01000
2019-04-24 11:18:23.074325: iter: [21/30], train_loss: 0.001231, valid_loss: 0.000084, best_valid_loss: 0.000084, lr: 0.01000
2019-04-24 11:18:24.850935: iter: [22/30], train_loss: 0.001241, valid_loss: 0.000096, best_valid_loss: 0.000084, lr: 0.01000
2019-04-24 11:18:26.648506: iter: [23/30], train_loss: 0.001194, valid_loss: 0.000099, best_valid_loss: 0.000084, lr: 0.01000
2019-04-24 11:18:28.446991: iter: [24/30], train_loss: 0.001090, valid_loss: 0.000093, best_valid_loss: 0.000084, lr: 0.01000
2019-04-24 11:18:30.279087: iter: [25/30], train_loss: 0.001107, valid_loss: 0.000108, best_valid_loss: 0.000084, lr: 0.01000
2019-04-24 11:18:32.137677: iter: [26/30], train_loss: 0.001256, valid_loss: 0.000081, best_valid_loss: 0.000081, lr: 0.01000
2019-04-24 11:18:33.919247: iter: [27/30], train_loss: 0.001119, valid_loss: 0.000086, best_valid_loss: 0.000081, lr: 0.01000
2019-04-24 11:18:35.715433: iter: [28/30], train_loss: 0.001097, valid_loss: 0.000108, best_valid_loss: 0.000081, lr: 0.01000
2019-04-24 11:18:37.531801: iter: [29/30], train_loss: 0.001096, valid_loss: 0.000105, best_valid_loss: 0.000081, lr: 0.01000
2019-04-24 11:18:39.343905: iter: [30/30], train_loss: 0.001076, valid_loss: 0.000093, best_valid_loss: 0.000081, lr: 0.01000
2019-04-24 11:35:03.136685: [training]
2019-04-24 11:35:05.055379: iter: [1/300], train_loss: 0.570963, valid_loss: 0.001523, best_valid_loss: 0.001523, lr: 0.01000
2019-04-24 11:35:06.850942: iter: [2/300], train_loss: 0.011681, valid_loss: 0.001300, best_valid_loss: 0.001300, lr: 0.01000
2019-04-24 11:35:08.654541: iter: [3/300], train_loss: 0.010098, valid_loss: 0.001288, best_valid_loss: 0.001288, lr: 0.01000
2019-04-24 11:35:10.445287: iter: [4/300], train_loss: 0.008415, valid_loss: 0.000957, best_valid_loss: 0.000957, lr: 0.01000
2019-04-24 11:35:12.189666: iter: [5/300], train_loss: 0.005855, valid_loss: 0.001660, best_valid_loss: 0.000957, lr: 0.01000
2019-04-24 11:35:13.974649: iter: [6/300], train_loss: 0.006428, valid_loss: 0.001671, best_valid_loss: 0.000957, lr: 0.01000
2019-04-24 11:35:15.759820: iter: [7/300], train_loss: 0.006199, valid_loss: 0.001371, best_valid_loss: 0.000957, lr: 0.01000
2019-04-24 11:35:17.551038: iter: [8/300], train_loss: 0.003750, valid_loss: 0.001547, best_valid_loss: 0.000957, lr: 0.01000
2019-04-24 11:35:19.388683: iter: [9/300], train_loss: 0.003321, valid_loss: 0.000448, best_valid_loss: 0.000448, lr: 0.01000
2019-04-24 11:35:21.181923: iter: [10/300], train_loss: 0.002285, valid_loss: 0.000208, best_valid_loss: 0.000208, lr: 0.01000
2019-04-24 11:35:22.988183: iter: [11/300], train_loss: 0.001887, valid_loss: 0.000193, best_valid_loss: 0.000193, lr: 0.01000
2019-04-24 11:35:24.744646: iter: [12/300], train_loss: 0.001753, valid_loss: 0.000230, best_valid_loss: 0.000193, lr: 0.01000
2019-04-24 11:35:26.551966: iter: [13/300], train_loss: 0.002150, valid_loss: 0.000171, best_valid_loss: 0.000171, lr: 0.01000
2019-04-24 11:35:28.366384: iter: [14/300], train_loss: 0.001794, valid_loss: 0.000170, best_valid_loss: 0.000170, lr: 0.01000
2019-04-24 11:35:30.143675: iter: [15/300], train_loss: 0.001361, valid_loss: 0.000361, best_valid_loss: 0.000170, lr: 0.01000
2019-04-24 11:35:31.994952: iter: [16/300], train_loss: 0.001501, valid_loss: 0.000117, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 11:35:33.770856: iter: [17/300], train_loss: 0.001527, valid_loss: 0.000228, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 11:35:35.565695: iter: [18/300], train_loss: 0.001457, valid_loss: 0.000138, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 11:35:37.358773: iter: [19/300], train_loss: 0.001361, valid_loss: 0.000137, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 11:35:39.152206: iter: [20/300], train_loss: 0.001738, valid_loss: 0.000163, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 11:35:40.961976: iter: [21/300], train_loss: 0.001558, valid_loss: 0.000111, best_valid_loss: 0.000111, lr: 0.01000
2019-04-24 11:35:42.779409: iter: [22/300], train_loss: 0.001170, valid_loss: 0.000090, best_valid_loss: 0.000090, lr: 0.01000
2019-04-24 11:35:44.540268: iter: [23/300], train_loss: 0.001197, valid_loss: 0.000097, best_valid_loss: 0.000090, lr: 0.01000
2019-04-24 11:35:46.329376: iter: [24/300], train_loss: 0.000949, valid_loss: 0.000117, best_valid_loss: 0.000090, lr: 0.01000
2019-04-24 11:35:48.139450: iter: [25/300], train_loss: 0.000998, valid_loss: 0.000098, best_valid_loss: 0.000090, lr: 0.01000
2019-04-24 11:35:50.000180: iter: [26/300], train_loss: 0.001191, valid_loss: 0.000070, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:35:51.775630: iter: [27/300], train_loss: 0.001225, valid_loss: 0.000112, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:35:53.577836: iter: [28/300], train_loss: 0.000898, valid_loss: 0.000081, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:35:55.376964: iter: [29/300], train_loss: 0.000821, valid_loss: 0.000078, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:35:57.150847: iter: [30/300], train_loss: 0.000799, valid_loss: 0.000083, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:35:58.953584: iter: [31/300], train_loss: 0.000872, valid_loss: 0.000097, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:00.726733: iter: [32/300], train_loss: 0.000885, valid_loss: 0.000091, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:02.517518: iter: [33/300], train_loss: 0.001067, valid_loss: 0.000876, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:04.337907: iter: [34/300], train_loss: 0.001534, valid_loss: 0.000083, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:06.158392: iter: [35/300], train_loss: 0.000912, valid_loss: 0.000099, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:07.934539: iter: [36/300], train_loss: 0.000845, valid_loss: 0.000072, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:09.718455: iter: [37/300], train_loss: 0.000809, valid_loss: 0.000108, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:11.514442: iter: [38/300], train_loss: 0.000841, valid_loss: 0.000078, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:13.281438: iter: [39/300], train_loss: 0.000729, valid_loss: 0.000089, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:15.080249: iter: [40/300], train_loss: 0.000783, valid_loss: 0.000071, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:16.867123: iter: [41/300], train_loss: 0.000967, valid_loss: 0.000087, best_valid_loss: 0.000070, lr: 0.01000
2019-04-24 11:36:18.716070: iter: [42/300], train_loss: 0.000782, valid_loss: 0.000061, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:20.482572: iter: [43/300], train_loss: 0.000787, valid_loss: 0.000075, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:22.259555: iter: [44/300], train_loss: 0.000870, valid_loss: 0.000146, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:24.059955: iter: [45/300], train_loss: 0.000956, valid_loss: 0.000074, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:25.866822: iter: [46/300], train_loss: 0.000861, valid_loss: 0.000078, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:27.660351: iter: [47/300], train_loss: 0.000752, valid_loss: 0.000062, best_valid_loss: 0.000061, lr: 0.01000
2019-04-24 11:36:29.529067: iter: [48/300], train_loss: 0.000718, valid_loss: 0.000055, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 11:36:31.309128: iter: [49/300], train_loss: 0.000629, valid_loss: 0.000069, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 11:36:33.082827: iter: [50/300], train_loss: 0.000689, valid_loss: 0.000068, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 11:36:34.895907: iter: [51/300], train_loss: 0.000837, valid_loss: 0.000095, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 11:36:36.730836: iter: [52/300], train_loss: 0.001055, valid_loss: 0.000084, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 11:36:38.517373: iter: [53/300], train_loss: 0.000831, valid_loss: 0.000092, best_valid_loss: 0.000055, lr: 0.01000
