2019-04-24 10:29:30.637197: [training]
2019-04-24 10:29:32.602021: iter: [1/30], train_loss: 0.005158, valid_loss: 0.000489, best_valid_loss: 0.000489, lr: 0.01000
2019-04-24 10:29:34.553341: iter: [2/30], train_loss: 0.001512, valid_loss: 0.000453, best_valid_loss: 0.000453, lr: 0.01000
2019-04-24 10:29:36.492657: iter: [3/30], train_loss: 0.001067, valid_loss: 0.000058, best_valid_loss: 0.000058, lr: 0.01000
2019-04-24 10:29:38.412848: iter: [4/30], train_loss: 0.000581, valid_loss: 0.000075, best_valid_loss: 0.000058, lr: 0.01000
2019-04-24 10:29:40.427449: iter: [5/30], train_loss: 0.000792, valid_loss: 0.000042, best_valid_loss: 0.000042, lr: 0.01000
2019-04-24 10:29:42.403076: iter: [6/30], train_loss: 0.000398, valid_loss: 0.000031, best_valid_loss: 0.000031, lr: 0.01000
2019-04-24 10:29:44.283464: iter: [7/30], train_loss: 0.000388, valid_loss: 0.000071, best_valid_loss: 0.000031, lr: 0.01000
2019-04-24 10:29:46.209228: iter: [8/30], train_loss: 0.000357, valid_loss: 0.000076, best_valid_loss: 0.000031, lr: 0.01000
2019-04-24 10:29:48.116422: iter: [9/30], train_loss: 0.000321, valid_loss: 0.000032, best_valid_loss: 0.000031, lr: 0.01000
2019-04-24 10:29:50.121465: iter: [10/30], train_loss: 0.000267, valid_loss: 0.000025, best_valid_loss: 0.000025, lr: 0.01000
2019-04-24 10:29:52.044351: iter: [11/30], train_loss: 0.000262, valid_loss: 0.000036, best_valid_loss: 0.000025, lr: 0.01000
2019-04-24 10:29:53.975371: iter: [12/30], train_loss: 0.000257, valid_loss: 0.000035, best_valid_loss: 0.000025, lr: 0.01000
2019-04-24 10:29:55.892583: iter: [13/30], train_loss: 0.000305, valid_loss: 0.000031, best_valid_loss: 0.000025, lr: 0.01000
2019-04-24 10:29:57.881965: iter: [14/30], train_loss: 0.000242, valid_loss: 0.000021, best_valid_loss: 0.000021, lr: 0.01000
2019-04-24 10:29:59.783842: iter: [15/30], train_loss: 0.000249, valid_loss: 0.000023, best_valid_loss: 0.000021, lr: 0.01000
2019-04-24 10:30:01.708024: iter: [16/30], train_loss: 0.000317, valid_loss: 0.000023, best_valid_loss: 0.000021, lr: 0.01000
2019-04-24 10:30:03.679442: iter: [17/30], train_loss: 0.000218, valid_loss: 0.000018, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:05.569940: iter: [18/30], train_loss: 0.000281, valid_loss: 0.000019, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:07.476048: iter: [19/30], train_loss: 0.000223, valid_loss: 0.000030, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:09.396202: iter: [20/30], train_loss: 0.000223, valid_loss: 0.000019, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:11.312291: iter: [21/30], train_loss: 0.000200, valid_loss: 0.000018, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:13.223295: iter: [22/30], train_loss: 0.000209, valid_loss: 0.000020, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:15.144055: iter: [23/30], train_loss: 0.000216, valid_loss: 0.000020, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:17.030098: iter: [24/30], train_loss: 0.000211, valid_loss: 0.000023, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:18.977236: iter: [25/30], train_loss: 0.000194, valid_loss: 0.000019, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:20.847029: iter: [26/30], train_loss: 0.000194, valid_loss: 0.000021, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:22.746067: iter: [27/30], train_loss: 0.000197, valid_loss: 0.000021, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:24.658664: iter: [28/30], train_loss: 0.000210, valid_loss: 0.000023, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:26.595491: iter: [29/30], train_loss: 0.000214, valid_loss: 0.000022, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:30:28.564611: iter: [30/30], train_loss: 0.000197, valid_loss: 0.000018, best_valid_loss: 0.000018, lr: 0.01000
2019-04-24 10:52:57.338068: [training]
2019-04-24 10:52:59.276111: iter: [1/30], train_loss: 0.004978, valid_loss: 0.000445, best_valid_loss: 0.000445, lr: 0.01000
2019-04-24 10:53:01.180225: iter: [2/30], train_loss: 0.003986, valid_loss: 0.000309, best_valid_loss: 0.000309, lr: 0.01000
2019-04-24 10:53:03.073562: iter: [3/30], train_loss: 0.001354, valid_loss: 0.000147, best_valid_loss: 0.000147, lr: 0.01000
2019-04-24 10:53:04.962070: iter: [4/30], train_loss: 0.000930, valid_loss: 0.000105, best_valid_loss: 0.000105, lr: 0.01000
2019-04-24 10:53:06.868142: iter: [5/30], train_loss: 0.000983, valid_loss: 0.000076, best_valid_loss: 0.000076, lr: 0.01000
2019-04-24 10:53:08.761779: iter: [6/30], train_loss: 0.000531, valid_loss: 0.000044, best_valid_loss: 0.000044, lr: 0.01000
2019-04-24 10:53:10.629433: iter: [7/30], train_loss: 0.000421, valid_loss: 0.000051, best_valid_loss: 0.000044, lr: 0.01000
2019-04-24 10:53:12.544847: iter: [8/30], train_loss: 0.000417, valid_loss: 0.000038, best_valid_loss: 0.000038, lr: 0.01000
2019-04-24 10:53:14.396155: iter: [9/30], train_loss: 0.000383, valid_loss: 0.000042, best_valid_loss: 0.000038, lr: 0.01000
2019-04-24 10:53:16.278165: iter: [10/30], train_loss: 0.000629, valid_loss: 0.000220, best_valid_loss: 0.000038, lr: 0.01000
